[2016-04-24 10:36:33] START
[2016-04-24 10:37:08] CREATE modelos.py: 0
[2016-04-28 07:40:49] EDIT AmpEng/controllers/cadastro.py: 1
[2016-04-28 07:40:53] EDIT AmpEng/controllers/cadastro.py: 0
[2016-04-28 07:41:07] EDIT AmpEng/controllers/cadastro.py: 0
[2016-04-28 07:41:10] EDIT AmpEng/controllers/cadastro.py: 0
[2016-04-28 07:44:14] EDIT AmpEng/controllers/cadastro.py: -1
[2016-04-28 07:48:53] EDIT AmpEng/controllers/cadastro.py: 1
[2016-04-28 07:48:56] EDIT AmpEng/controllers/cadastro.py: 0
[2016-04-28 07:50:05] EDIT AmpEng/controllers/cadastro.py: 0
[2016-04-28 07:51:38] EDIT AmpEng/controllers/cadastro.py: 0
[2016-04-28 07:52:52] EDIT AmpEng/views/cadastro/cadastro.html: 1
[2016-04-28 08:03:18] EDIT AmpEng/views/cadastro/cadastro.html: 0
[2016-04-28 08:04:15] EDIT AmpEng/views/cadastro/cadastro.html: 0
[2016-04-28 08:23:53] EDIT AmpEng/controllers/cadastro.py: 1
[2016-04-28 08:24:59] EDIT AmpEng/controllers/cadastro.py: -1
[2016-04-28 08:25:29] EDIT AmpEng/controllers/cadastro.py: 1
[2016-04-28 08:31:02] EDIT AmpEng/controllers/cadastro.py: 0
[2016-04-28 08:33:05] EDIT AmpEng/controllers/cadastro.py: -3
